,run0,wkt0,run1,wkt1,run2,wkt2,run3,wkt3,run4,wkt4,run5,wkt5,run6,wkt6,run7,wkt7,run8,wkt8,run9,wkt9,run10,wkt10,run11,wkt11,run12,wkt12,run13,wkt13,run14,wkt14,run15,wkt15,run16,wkt16,run17,wkt17,run18,wkt18,run19,wkt19,run20,wkt20
0,0,0,6,0,13,0,19,0,27,0,43,0,47,0,53,0,61,0,67,0,75,0,78,1,89,2,93,2,100,2,116,2,129,3,139,3,148,3,154,5,168,6
0,0,0,7,0,17,0,18,1,30,1,38,1,60,1,64,2,67,2,74,2,80,2,95,2,103,2,111,2,119,3,125,4,134,5,144,6,159,6,166,7,173,10
0,0,0,1,0,15,0,26,0,35,0,53,0,62,0,66,0,78,0,81,1,93,1,100,1,107,1,124,1,128,2,135,2,147,2,167,2,177,2,182,5,187,6
0,0,0,3,0,15,0,18,0,32,0,54,1,63,1,67,1,71,1,81,1,87,1,94,1,97,2,107,2,110,3,122,3,131,3,141,4,150,4,160,5,169,5
0,0,0,2,0,14,0,20,0,33,0,33,1,41,2,50,3,57,3,67,3,72,3,80,3,91,4,98,4,100,5,111,5,115,6,130,6,134,7,155,7,170,7
0,0,0,5,0,11,0,15,1,25,1,28,4,35,4,37,4,46,4,47,4,52,4,57,4,57,5,68,5,73,5,76,6,81,6,84,8,86,8,90,8,99,9
0,0,0,0,0,4,0,20,0,23,1,27,3,29,3,34,3,39,3,49,3,53,3,61,3,69,4,78,4,85,4,87,4,93,4,95,5,111,5,122,6,138,6
0,0,0,4,0,11,1,12,1,22,1,30,2,34,4,38,4,48,4,60,4,65,4,67,5,70,5,75,5,84,5,97,5,100,6,114,6,123,7,136,7,141,8
0,0,0,8,1,20,1,30,1,40,1,42,2,49,3,55,3,70,3,75,3,87,3,92,3,107,3,135,3,145,3,153,3,163,3,171,5,179,5,190,5,195,7
0,0,0,9,0,13,0,19,0,30,0,36,2,41,2,44,3,46,3,50,3,55,3,67,3,79,3,91,3,103,3,125,3,129,3,150,3,165,3,177,4,194,4
0,0,0,5,0,14,0,15,1,25,1,42,1,56,1,61,1,71,1,87,1,98,1,102,1,107,2,118,2,127,3,139,3,146,4,157,4,171,4,173,5,185,6
0,0,0,3,0,13,0,18,1,25,1,47,1,64,1,68,1,71,1,74,2,74,4,78,4,87,6,93,6,102,6,109,6,120,6,129,7,138,7,147,8,159,8
0,0,0,7,0,17,0,42,0,53,0,67,0,79,0,85,0,90,0,91,2,93,2,97,2,102,2,118,2,130,2,136,3,152,3,159,3,174,4,196,4,206,5
0,0,0,6,0,15,0,26,0,31,0,42,0,48,1,52,2,57,2,69,2,73,2,81,2,96,3,101,3,115,3,127,3,133,3,143,4,159,5,167,6,179,7
0,0,0,4,0,23,0,29,0,49,0,57,0,64,0,77,0,81,0,86,1,92,1,106,1,120,2,128,2,139,2,145,3,157,3,167,4,182,5,192,6,200,6
0,0,0,7,1,10,1,16,1,28,1,45,1,56,1,60,1,69,2,72,2,86,2,102,2,114,3,121,3,125,3,134,4,149,5,159,6,166,6,181,6,197,7
0,0,0,6,0,16,2,21,2,31,2,34,3,42,3,48,3,62,3,71,3,81,3,90,3,100,3,109,3,115,3,132,3,150,3,156,3,166,3,178,4,188,4
0,0,0,4,0,13,0,19,1,34,1,40,1,53,1,65,1,74,1,93,1,101,2,114,2,131,2,156,2,175,2,184,3,194,4,211,4,215,6,244,6,260,6
0,0,0,4,0,12,0,17,0,25,0,29,1,35,1,42,2,49,3,52,3,64,3,75,4,86,4,97,4,100,5,103,5,119,5,127,6,129,7,132,9,135,10
0,0,0,1,1,9,1,14,2,19,2,28,3,33,3,36,4,44,4,47,4,64,4,70,4,82,5,84,5,90,5,97,5,111,6,123,6,128,7,138,7,141,9
0,0,0,3,0,11,0,19,0,22,1,25,1,38,2,51,2,59,2,74,2,80,2,95,3,99,5,103,5,112,5,118,5,128,5,141,5,148,5,154,6,164,7
0,0,0,8,0,24,1,39,3,54,3,60,4,65,4,76,4,78,5,91,5,96,5,101,6,103,6,104,6,108,6,119,6,120,7,125,7,133,8,138,9,144,10
0,0,0,7,0,11,1,23,1,34,1,36,1,48,1,57,1,65,1,69,2,77,2,86,3,89,5,94,5,104,5,112,5,137,5,145,5,164,6,185,6,190,10
0,0,0,2,0,5,0,16,0,18,0,25,0,31,0,40,1,44,1,57,1,63,1,66,2,73,2,82,2,86,3,91,3,103,3,112,6,114,6,119,6,123,8
0,0,0,8,0,18,1,23,1,32,1,42,2,43,3,49,3,54,3,56,3,68,3,77,3,86,3,89,3,91,4,94,5,104,6,112,6,133,6,145,7,154,8
0,0,0,7,0,17,0,22,1,24,2,33,2,33,3,37,3,49,3,63,3,69,3,81,3,89,3,109,3,121,3,134,4,147,4,158,5,164,5,171,6,189,6
0,0,0,7,1,16,1,19,2,26,3,29,3,31,4,34,4,35,4,40,4,60,4,72,4,84,5,92,5,100,5,114,5,134,5,140,7,146,8,152,8,164,9
0,0,0,8,0,13,1,29,1,34,2,42,2,58,2,71,2,79,2,80,3,85,3,92,3,99,4,101,4,112,4,123,4,138,4,150,4,156,5,160,6,164,7
0,0,0,8,1,12,1,19,1,26,1,37,1,39,2,46,2,49,2,57,2,61,3,71,3,77,4,84,4,90,4,97,5,103,5,109,5,122,5,139,5,147,5
0,0,0,2,0,7,0,19,0,25,0,42,0,50,0,59,0,67,0,70,2,76,3,80,3,90,4,92,4,97,4,121,4,131,4,132,6,138,7,142,8,153,8
0,0,0,9,0,13,0,17,0,23,0,35,0,41,0,56,0,70,0,77,0,90,0,98,0,110,0,118,0,129,0,138,1,148,2,159,3,171,3,207,3,218,4
0,0,0,7,1,9,2,11,3,15,3,21,3,26,4,28,4,34,5,39,5,43,7,55,7,60,7,65,7,72,7,77,7,82,7,86,8,92,8,100,9,101,10
0,0,0,10,0,14,0,17,1,27,1,38,1,51,1,56,1,62,1,74,1,80,2,85,3,102,4,105,4,112,4,121,6,124,7,130,7,137,7,139,9,140,10
0,0,0,3,0,12,0,19,0,29,0,33,2,34,3,37,3,46,3,48,3,57,3,62,4,72,4,79,4,90,4,97,4,101,4,119,4,131,4,139,4,153,5
0,0,0,2,0,4,0,15,0,29,0,33,0,41,0,46,0,51,1,61,1,72,1,75,2,78,2,85,2,91,4,104,5,106,6,116,7,120,7,126,8,143,8
0,0,0,5,0,9,0,10,0,19,0,26,0,36,1,39,1,41,2,48,2,60,2,79,2,88,2,92,2,113,2,127,3,141,3,148,3,161,4,179,4,188,5
0,0,0,5,0,5,1,10,1,25,1,41,1,48,1,55,2,60,2,68,2,73,3,83,3,90,3,105,3,119,3,131,3,140,3,153,4,169,4,178,4,186,6
0,0,0,5,1,14,2,20,3,20,4,22,4,30,4,34,5,38,5,39,5,43,5,48,5,49,6,53,6,60,6,62,7,63,9,72,9,74,10,74,10,74,10
0,0,0,1,0,6,1,14,2,14,2,19,2,33,2,40,2,48,3,50,3,59,3,67,4,69,5,72,5,78,5,86,5,95,5,98,6,102,7,117,7,123,9
0,0,0,12,1,13,1,25,1,35,1,42,1,58,1,60,2,69,2,74,2,81,2,87,2,96,2,110,2,113,3,116,4,120,4,127,4,149,4,158,5,166,5
0,0,0,4,0,7,0,22,1,28,1,34,2,39,2,48,3,54,3,63,3,66,4,71,4,75,5,81,5,83,5,86,6,97,6,99,7,113,7,119,7,129,7
