,run0,wkt0,run1,wkt1,run2,wkt2,run3,wkt3,run4,wkt4,run5,wkt5,run6,wkt6,run7,wkt7,run8,wkt8,run9,wkt9,run10,wkt10,run11,wkt11,run12,wkt12,run13,wkt13,run14,wkt14,run15,wkt15,run16,wkt16,run17,wkt17,run18,wkt18,run19,wkt19,run20,wkt20,target,chased
0,0,0,5,1,15,1,22,1,46,1,51,1,62,1,67,1,73,1,80,2,88,2,93,3,98,3,107,3,120,3,127,3,140,3,151,3,157,5,163,5,172,5,169,1
0,0,0,5,1,22,1,27,2,33,3,41,5,45,5,51,5,62,5,66,5,74,5,83,5,88,6,95,6,110,6,115,6,122,7,126,7,138,7,160,7,176,8,174,1
0,0,0,8,0,28,0,35,0,43,1,50,1,60,1,66,1,69,2,75,3,78,4,88,4,91,6,99,6,112,6,121,7,136,7,140,8,146,10,146,10,146,10,188,0
0,0,0,5,0,6,1,10,2,18,2,24,3,26,4,30,4,43,4,51,4,64,4,69,4,82,5,91,5,105,5,113,5,116,6,123,7,125,8,128,9,129,10,170,0
0,0,0,8,1,13,1,16,1,29,1,39,1,44,2,47,2,55,3,60,3,69,3,79,3,89,4,92,4,108,4,118,4,130,4,142,4,150,5,163,5,168,6,171,0
0,0,0,2,0,7,0,10,0,18,0,28,0,37,0,45,0,55,0,61,0,74,0,84,0,93,0,99,0,103,0,103,0,103,0,103,0,103,0,103,0,103,0,100,1
0,0,0,1,0,11,0,19,1,32,1,38,1,40,1,43,1,51,1,58,2,59,2,62,3,71,3,74,3,88,4,91,4,97,4,104,4,107,5,118,5,135,6,139,0
0,0,0,8,0,17,0,28,1,30,2,34,2,43,2,47,3,51,3,57,3,61,3,71,4,76,4,81,4,93,4,108,4,125,4,130,4,143,4,143,4,143,4,142,1
0,0,0,2,1,13,1,24,1,36,2,41,3,48,3,64,3,66,3,87,3,93,3,108,4,116,5,118,5,123,6,136,6,142,6,147,8,148,9,148,10,148,10,196,0
0,0,0,11,0,15,0,26,0,37,0,52,1,69,1,75,1,80,1,84,2,89,2,95,2,99,3,105,3,120,3,123,4,125,4,134,4,146,4,160,5,167,6,195,0
0,0,0,5,0,10,0,10,2,19,2,24,2,34,2,40,3,50,3,54,3,59,4,60,6,68,8,82,8,102,8,107,10,107,10,107,10,107,10,107,10,107,10,186,0
0,0,0,6,0,10,0,20,0,31,0,41,0,51,1,55,1,63,1,68,1,75,1,79,1,89,1,99,1,120,1,128,1,131,1,150,1,160,1,160,1,160,1,160,1
0,0,0,7,0,16,0,35,0,43,0,56,0,72,0,86,0,98,0,112,0,117,0,133,0,134,2,145,2,145,2,158,2,165,2,177,2,183,3,190,4,196,6,207,0
0,0,0,4,1,5,2,9,2,17,2,27,2,33,2,42,2,49,2,57,2,64,2,69,2,75,4,78,4,83,4,92,4,101,6,111,7,121,7,130,9,130,10,180,0
0,0,0,20,0,25,0,29,0,38,2,59,2,62,3,67,4,72,4,79,4,90,4,100,4,106,5,117,5,127,5,133,8,139,9,140,10,140,10,140,10,140,10,201,0
0,0,0,4,1,6,1,7,2,15,3,21,3,41,3,45,3,53,4,61,4,65,4,76,5,81,7,88,7,109,7,115,7,122,7,130,7,141,8,145,8,149,9,198,0
0,0,0,6,0,23,0,30,0,41,0,55,0,62,0,70,0,83,0,89,1,101,1,110,1,119,1,136,1,146,1,160,1,167,2,186,2,191,3,191,3,191,3,189,1
0,0,0,0,1,17,1,20,2,24,2,33,2,35,2,38,2,39,2,42,2,47,3,51,5,54,5,60,5,64,5,68,6,76,6,80,6,82,7,86,8,88,9,261,0
0,0,0,6,0,12,0,22,0,28,0,44,0,61,0,69,0,78,0,80,1,94,1,96,1,104,1,117,1,122,2,136,2,136,2,136,2,136,2,136,2,136,2,136,1
0,0,0,7,0,12,0,22,1,29,1,33,1,39,1,42,1,47,2,47,4,53,4,60,4,69,4,75,4,80,4,87,5,93,5,100,5,113,6,130,6,141,7,142,0
0,0,0,9,0,20,0,35,0,42,0,53,0,60,0,80,0,83,1,86,1,90,1,97,1,102,2,112,2,125,2,135,2,147,2,151,2,162,3,168,3,168,3,165,1
0,0,0,5,0,9,0,18,0,28,0,36,0,42,0,48,0,56,0,66,1,75,1,83,1,91,1,104,1,109,2,119,2,123,2,124,3,135,3,146,3,146,3,145,1
0,0,0,4,0,19,0,37,0,47,0,67,0,76,1,78,2,83,2,90,2,96,2,105,3,110,4,118,4,132,5,135,5,145,5,151,7,158,8,168,9,180,9,191,0
0,0,0,1,0,15,0,28,0,39,0,49,0,62,0,66,0,75,0,86,0,88,0,97,0,107,1,121,1,124,1,124,1,124,1,124,1,124,1,124,1,124,1,124,1
0,0,0,0,1,7,1,14,1,23,1,28,3,31,3,37,3,42,3,53,3,59,3,63,3,79,4,83,4,93,4,101,5,107,5,112,5,115,6,126,7,135,7,155,0
0,0,0,5,1,6,2,15,2,24,2,35,3,49,3,71,3,80,3,84,3,88,3,90,4,102,5,112,5,113,6,116,7,119,7,125,7,130,7,151,8,156,9,190,0
0,0,0,6,0,14,0,17,0,28,0,35,0,50,0,59,0,62,1,66,1,72,1,81,2,87,3,102,3,106,5,119,5,126,5,137,5,145,5,149,8,159,8,165,0
0,0,0,5,0,15,0,25,0,31,2,35,2,40,3,48,4,56,4,63,4,75,4,79,4,96,4,106,4,117,4,134,4,138,4,143,4,152,4,163,4,165,4,165,1
0,0,0,4,1,19,1,21,1,21,3,25,3,31,3,35,4,39,4,48,5,53,6,55,6,62,8,69,8,71,8,81,8,83,10,83,10,83,10,83,10,83,10,148,0
0,0,0,12,0,14,0,17,1,17,2,23,2,31,2,45,2,53,3,58,3,63,3,71,3,79,3,91,3,94,3,110,3,113,4,132,4,142,4,152,4,158,4,154,1
0,0,0,3,0,11,0,19,0,30,0,45,0,57,1,65,1,74,1,83,1,94,1,99,2,117,2,120,2,126,2,135,3,151,3,167,3,171,5,183,5,200,6,219,0
0,0,0,9,0,11,0,23,0,29,0,44,0,54,0,73,0,78,0,86,0,94,0,102,0,102,0,102,0,102,0,102,0,102,0,102,0,102,0,102,0,102,0,102,1
